"Data_Inquerito","Sexo","Idade","Nacionalidade","Utiliza","Motivos","Funcionalidades","Plataformas","Facilidade_de_uso","Interface_do_Navegador","Utilizacao_do_Historico","Variedade_de_extensoes","Personalizacao_do_Navegador","Qualidade_da_loja_online","Primeira_utilizacao","facilidade_Instalacao","Pesquisa_de_extensoes","Resolucao_de_problemas","Frequencia_de_utilizacao_dia","Tempo_de_utilizacao","Razao_nao_utilizacao"
"2018/04/12 9:48:47 da tarde CET","Feminino","Maior que 50","Portugal","Nao","","","","","","","","","","","","","","","","Utilizo outro browser"
"2018/04/12 9:52:40 da tarde CET","Feminino","26-40","Portugal","Sim / Ja utilizei","Blogs;Noticias;Trabalho","Rapidez de navegacao","Desktop;Tablet","3","4","3","3","3","3","4","4","3","4","3 - 4 horas","Menos de 1 ano",""
"2018/04/12 9:54:57 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Desporto;Noticias;Trabalho;Forums de discussao online;Download de software","Rapidez de navegacao;Baixa utilizacao de memoria;Personalizacao do navegador;Melhor protecao em navegacao anónima;Variedade de extensoes/temas;Sincronizacao com dispositivos moveis","Desktop;Mobile","5","5","5","5","5","5","5","5","5","5","Mais de 6 horas","Mais de 4 anos",""
"2018/04/12 10:00:34 da tarde CET","Feminino","26-40","Portugal","Sim / Ja utilizei","Redes sociais;Youtube;Desporto;Noticias;Trabalho;Enciclopedias online;Download de software","Baixa utilizacao de memoria","Desktop","4","3","2","2","3","2","3","3","2","2","1 - 2 horas","Menos de 1 ano",""
"2018/04/12 10:12:05 da tarde CET","Masculino","18-25","Portugal","Nao","","","","","","","","","","","","","","","","Problemas de performance;Utilizo outro browser"
"2018/04/12 10:12:45 da tarde CET","Feminino","18-25","Portugal","Nao","","","","","","","","","","","","","","","","Incompatibilidade com o dispositivo utilizado;Dificuldade na importacao de marcadores;Problemas de performance;Sistema operativo;Utilizo outro browser"
"2018/04/12 10:28:27 da tarde CET","Masculino","41-50","Portugal","Sim / Ja utilizei","Desporto;Noticias","Rapidez de navegacao","Desktop","5","5","5","4","5","5","5","5","5","5","1 - 2 horas","3 - 4 anos",""
"2018/04/12 10:32:45 da tarde CET","Feminino","10-17","Portugal","Sim / Ja utilizei","Redes sociais;Youtube","Rapidez de navegacao;Personalizacao do navegador","Desktop","4","4","4","4","4","4","5","3","3","4","1 - 2 horas","Menos de 1 ano",""
"2018/04/12 10:33:34 da tarde CET","Masculino","10-17","Portugal","Nao","","","","","","","","","","","","","","","","Problemas de performance;Sistema operativo;Utilizo outro browser"
"2018/04/12 10:34:56 da tarde CET","Masculino","18-25","Portugal","Sim / Ja utilizei","Youtube;Trabalho;Fórums de discussao online;Download de software","Rapidez de navegacao;Baixa utilizacao de memória;Personalizacao do navegador;Melhor protecao em navegacao anónima;Variedade de extensoes/temas;Sincronizacao com dispositivos móveis","Desktop;Mobile","5","5","5","5","5","5","5","5","5","5","5 - 6 horas","Mais de 4 anos",""
